gender,人口,時間軸（年月日現在）,,全国・都道府県,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上
男女計,総人口,2020年10月1日現在,,全国,"126,146","4,541","5,114","5,376","5,706","6,320","6,384","6,714","7,498","8,476","9,868","8,738","7,940","7,442","8,236","9,189","7,065","5,404","6,133"
男女計,総人口,2020年10月1日現在,,北海道,"5,225",163,190,204,223,229,230,252,291,340,393,349,343,339,400,424,310,250,295
男女計,総人口,2020年10月1日現在,,青森県,"1,238",38,44,49,53,46,47,54,66,77,87,83,86,90,102,103,75,63,74
男女計,総人口,2020年10月1日現在,,岩手県,"1,211",37,45,50,53,46,48,55,65,76,83,78,81,86,97,95,72,64,80
男女計,総人口,2020年10月1日現在,,宮城県,"2,302",79,92,97,111,121,114,125,143,159,172,150,144,147,164,160,115,94,114
男女計,総人口,2020年10月1日現在,,秋田県,960,25,31,36,37,31,33,39,49,59,63,59,65,73,84,85,61,57,73
男女計,総人口,2020年10月1日現在,,山形県,"1,068",34,41,45,48,42,42,50,58,67,70,65,69,76,86,84,61,55,75
男女計,総人口,2020年10月1日現在,,福島県,"1,833",61,70,76,82,74,80,90,102,116,127,116,123,134,148,138,100,84,109
男女計,総人口,2020年10月1日現在,,茨城県,"2,867",97,114,124,133,135,133,147,167,190,222,194,179,181,211,220,167,121,132
男女計,総人口,2020年10月1日現在,,栃木県,"1,933",66,77,84,89,86,91,102,116,132,151,130,121,125,143,148,105,77,90
男女計,総人口,2020年10月1日現在,,群馬県,"1,939",65,76,85,92,91,90,95,108,128,152,133,121,118,137,152,114,84,99
男女計,総人口,2020年10月1日現在,,埼玉県,"7,345",264,296,313,333,388,387,400,447,511,617,540,459,406,457,532,428,299,268
男女計,総人口,2020年10月1日現在,,千葉県,"6,284",222,249,265,284,331,328,341,382,432,518,457,390,349,395,461,368,260,250
